Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
10/4/2012,0.005505668,0.006708098,0.002989127,0.01446735,0.012350791,0.030290799,0.007618535,0.005109608,0.003804521,-0.013101093,0.024438655,-0.005265758,0.013012009,0.007478775,-0.007408821
10/10/2012,-0.007778854,-0.003216911,-0.012991087,-0.01977664,-0.013728554,-0.020578899,-0.001104422,-0.00179985,0.000597269,-0.009218697,0.004150204,-0.004960446,-0.017209088,-0.029899431,0.007209184
10/16/2012,0.008421324,0.009730335,0.011321212,0.015631065,0.023665168,0.059779696,0.013163544,0.009733146,0.00561132,-0.029731035,0.02501682,0.009195737,-0.010459941,-0.014580034,-0.006390926
10/22/2012,-0.00210853,0.000477316,0.004448149,-0.014543872,-0.006453314,-0.003157235,-0.003296452,-0.003395672,0.004304189,-0.032711881,0.053945488,-0.036575915,-0.011325065,-0.018368732,0.002977854
10/26/2012,-0.004205224,-0.007710602,-0.016466061,-0.015197571,-0.013152319,-0.021459484,-0.006787625,-0.002102306,-0.004598352,0.018666693,-0.036512103,-0.027555784,-0.008147785,-0.019693769,0.005203345
11/5/2012,-0.004397955,0.005008125,0.010412112,0.003801335,0.013002899,0.005742937,0.002797219,0.003897203,0.00119852,0.011805206,-0.039886098,-0.007298406,-0.016754857,-0.011362449,0.008407719
11/9/2012,-0.001807342,-0.009082604,-0.009552278,-0.026339773,-0.022291317,-0.022616425,0.000797588,0.000496377,-0.002802688,0.016883021,-0.039279709,0.00489908,0.028593804,-0.001820245,0.003598639
11/15/2012,-0.003398626,-0.011554717,-0.016509412,-0.019317791,-0.01673687,0.005205064,-0.00249801,-0.00100036,-0.008177872,0.006343912,-0.011214278,-0.007204641,-0.009806988,0.013599697,0.00059996
11/21/2012,0.004090053,0.003195246,0.006774205,0.027871556,0.019979142,0.019389404,0.002300849,-0.004493613,0.005804609,-0.030308371,0.053287623,0.022673139,0.008547583,0.001661231,-0.001912826
11/28/2012,0.00410144,0.006393484,0.010826461,0.013662099,0.022073305,0.01506422,0.006006678,0.004105242,0.004707625,0.010834478,-0.027997372,-0.010171222,-0.006687807,0.019139146,-0.007217776
12/4/2012,0.003598303,0.014564237,0.016144788,-0.00191992,0.012438299,0.035343948,0.006109583,0.00159999,0.007822518,-0.011669581,-0.017247179,0.023231601,-0.012901726,0.033665755,-0.00867409
12/10/2012,0.00069872,0.010233272,0.021658351,0.008121851,0.012817366,-0.005416438,0.001798046,0.000695676,0.008927373,-0.026749154,0.008117775,-0.033150576,0.011032268,0.016612009,0.008614784
12/14/2012,0.005706398,0.008716049,0.013351932,-0.003543179,0.008690777,0.017288228,-0.00030118,-0.003796469,0.003502799,-0.035035248,0.053126102,0.013726162,-0.010040187,-0.002634737,-0.009377198
12/20/2012,0.002898807,0.009722868,0.009602734,0.021344639,0.009926014,0.033233157,0.000898759,-0.001513084,0.00210148,-0.027123225,0.056332751,0.039216029,-0.030058735,-0.029228177,-0.003896391
12/27/2012,-0.000910276,0.003590323,-0.002449168,-0.017701083,-0.00211222,-0.007637502,0.00120042,0.00520599,9.93698E-05,0.007079309,-0.036709915,0.008147581,0.010718534,0.012405002,0.00449991
1/3/2013,0.000387065,0.022065992,0.031735064,0.029093594,0.013128552,0.017385585,0.00631327,-0.004795734,0.005305256,-0.0566882,0.102069031,0.022586642,0.006674392,0.023000162,0.009621648
1/9/2013,-0.000102479,0.001994188,-0.008792307,0.001275262,-0.00462505,0.020869088,-0.006983485,0.00159374,0.003304022,0.012571828,-0.026740267,0.001999569,-0.011309856,-0.012241737,0.002192629
1/15/2013,0.004592812,0.001079887,0.000438064,0.007800522,-0.005810274,0.021946008,-0.00030451,-0.00040166,0.002100629,0.004222051,-0.012854875,0.001907597,0.017351603,-0.006887465,-0.009813426
1/22/2013,-0.000511262,0.003576863,0.005384551,0.013661416,0.002675228,-0.005188125,0.00130061,-0.000906525,0.002300518,-0.007189377,0.003661292,0.031727226,0.005696283,0.012484721,0.001184675
